,equipo,liga,goles,tiros_porteria,t_amarillas,t_rojas,posesion_%,pases_%,duelos_aereos_ganados,valor_gral_eq
0,Manchester City,Premier League,83,15.8,46,2,60.8,89.4,12.8,7.01
1,Bayern Munich,Bundesliga,50,17.1,44,3,58.1,85.5,12.9,6.95
2,Paris Saint-Germain,Ligue 1,86,15.0,73,7,60.1,89.5,9.5,6.88
3,Barcelona,LaLiga,85,15.3,68,2,62.4,89.7,10.6,6.87
4,Real Madrid,LaLiga,67,14.4,57,2,57.7,87.7,11.8,6.86
5,Manchester United,Premier League,73,13.8,64,1,54.5,84.8,14.5,6.85
6,Juventus,Serie A,77,15.7,76,6,55.4,88.3,11.4,6.85
7,Aston Villa,Premier League,55,13.7,63,4,49.1,78.6,19.4,6.84
8,Borussia Dortmund,Bundesliga,75,14.6,43,1,57.5,85.5,12.8,6.84
9,Atletico Madrid,LaLiga,67,12.1,100,0,51.8,83.1,14.4,6.84
10,Atalanta,Serie A,90,16.3,66,3,53.5,83.5,16.8,6.84
11,Chelsea,Premier League,58,14.6,49,3,58.6,87.0,15.2,6.83
12,Liverpool,Premier League,68,16.0,40,0,59.0,85.7,14.3,6.82
13,AC Milan,Serie A,74,14.7,80,4,51.4,84.0,15.2,6.82
14,Lille,Ligue 1,64,12.8,67,2,52.6,83.5,15.8,6.82
15,Tottenham,Premier League,68,11.7,53,2,51.3,81.8,16.4,6.81
16,Napoli,Serie A,86,17.0,71,3,54.1,87.0,11.1,6.81
17,Leicester,Premier League,68,12.8,61,0,53.2,82.1,16.2,6.8
18,Wolfsburg,Bundesliga,61,14.1,56,3,51.0,78.0,16.9,6.8
19,Inter,Serie A,89,14.5,59,2,52.0,87.0,11.8,6.8
20,Lyon,Ligue 1,81,16.1,60,10,53.6,84.7,14.3,6.8
21,RB Leipzig,Bundesliga,60,16.0,57,0,57.3,83.2,18.6,6.78
22,Leeds,Premier League,62,13.7,61,1,55.1,80.8,14.5,6.77
23,West Ham,Premier League,62,12.3,48,3,44.5,77.8,19.9,6.77
24,Everton,Premier League,47,10.5,59,2,47.3,81.4,17.7,6.73
25,Bayer Leverkusen,Bundesliga,53,13.0,58,0,57.3,84.4,13.1,6.73
26,Eintracht Frankfurt,Bundesliga,69,13.2,80,1,52.4,79.6,17.9,6.73
27,Monaco,Ligue 1,76,12.8,74,7,54.2,82.7,16.5,6.73
28,Roma,Serie A,68,14.3,84,3,51.5,84.5,12.1,6.71
29,Sevilla,LaLiga,53,12.1,75,2,58.7,86.2,16.6,6.7
30,Borussia M.Gladbach,Bundesliga,64,13.4,61,2,51.5,82.0,15.3,6.7
31,Arsenal,Premier League,55,12.1,47,5,52.7,85.0,13.5,6.69
32,Rennes,Ligue 1,52,13.5,80,5,56.8,85.6,16.9,6.69
33,VfB Stuttgart,Bundesliga,56,13.4,63,2,51.5,81.1,16.3,6.68
34,Wolverhampton Wanderers,Premier League,36,12.2,53,1,49.7,83.2,15.3,6.67
35,Sassuolo,Serie A,64,13.9,74,4,58.2,87.8,10.9,6.67
36,Metz,Ligue 1,44,11.5,82,4,46.9,79.8,16.1,6.66
37,Villarreal,LaLiga,60,10.7,65,5,54.3,84.4,13.0,6.66
